Iterations;Gain_cumule
1;98.21328556964689
2;107.49973899767353
3;116.42523008775436
4;126.16834158583075
5;135.4547950138574
6;145.19790651193378
7;154.48435993996043
8;164.22747143803682
9;173.15296252811763
10;182.89607402619401
11;191.22154683660176
12;200.96465833467815
13;210.2511117627048
14;219.99422326078118
15;229.28067668880783
16;239.02378818688422
17;247.94927927696503
18;257.6923907750414
19;266.9788442030681
20;276.7219557011445
21;286.0084091291712
22;295.7515206272476
23;304.6770117173284
24;314.42012321540483
25;323.7065766434315
26;333.4496881415079
27;342.7361415695346
28;352.479253067611
29;361.4047441576918
30;371.14785565576824
31;380.4343090837949
32;390.17742058187133
33;399.463874009898
34;409.2069855079744
35;418.13247659805523
36;427.87558809613165
37;437.1620415241583
38;446.90515302223474
39;456.1916064502614
40;465.93471794833783
41;474.2601907587456
42;484.003302256822
43;492.9287933469028
44;502.6719048449792
45;511.9583582730059
46;521.7014697710823
47;530.987923199109
48;540.7310346971854
49;549.6565257872662
50;559.3996372853426
51;568.6860907133693
52;578.4292022114456
53;587.7156556394723
54;597.4587671375486
55;606.3842582276295
56;616.1273697257059
57;625.4138231537326
58;635.1569346518089
59;644.4433880798356
60;654.186499577912
61;663.1119906679928
62;672.8551021660692
63;681.1805749764769
64;690.9236864745533
65;700.21013990258
66;709.9532514006563
67;718.8787424907372
68;728.6218539888135
69;737.9083074168402
70;747.6514189149166
71;756.9378723429433
72;766.6809838410196
73;775.6064749311005
74;785.3495864291768
75;794.6360398572035
76;804.3791513552799
77;813.6656047833065
78;823.4087162813829
79;832.3342073714638
80;842.0773188695401
81;850.4027916799479
82;860.1459031780242
83;869.4323566060509
84;879.1754681041273
85;888.1009591942081
86;897.8440706922845
87;907.1305241203112
88;916.8736356183875
89;926.1600890464142
90;935.9032005444906
91;944.8286916345714
92;954.5718031326478
93;963.8582565606745
94;973.6013680587508
95;982.8878214867775
96;992.6309329848539
97;1001.5564240749347
98;1011.2995355730111
99;1020.5859890010378
100;1030.3291004991142
101;1038.654573309522
102;1048.3976848075984
103;1057.3231758976792
104;1067.0662873957556
105;1076.3527408237821
106;1086.0958523218585
107;1095.382305749885
108;1105.1254172479614
109;1114.0509083380423
110;1123.7940198361187
111;1133.0804732641452
112;1142.8235847622216
113;1152.1100381902481
114;1161.8531496883245
115;1170.7786407784054
116;1180.5217522764817
117;1189.8082057045083
118;1199.5513172025846
119;1208.8377706306112
120;1218.5808821286876
121;1227.5063732187684
122;1237.2494847168448
123;1245.5749575272525
124;1255.318069025329
125;1264.6045224533555
126;1274.3476339514318
127;1283.2731250415127
128;1293.016236539589
129;1302.3026899676156
130;1312.045801465692
131;1321.3322548937185
132;1331.075366391795
133;1340.0008574818758
134;1349.7439689799521
135;1359.0304224079787
136;1368.773533906055
137;1378.0599873340816
138;1387.803098832158
139;1396.7285899222388
140;1406.4717014203152
141;1414.797174230723
142;1424.5402857287993
143;1433.8267391568259
144;1443.5698506549022
145;1452.495341744983
146;1462.2384532430594
147;1471.524906671086
148;1481.2680181691624
149;1490.554471597189
150;1500.2975830952653
151;1509.2230741853461
152;1518.9661856834225
153;1528.252639111449
154;1537.9957506095254
155;1547.282204037552
156;1557.0253155356284
157;1565.9508066257092
158;1575.6939181237856
159;1584.9803715518121
160;1594.7234830498885
161;1603.0489558602962
162;1612.7920673583726
163;1621.7175584484535
164;1631.4606699465298
165;1640.7471233745564
166;1650.4902348726328
167;1659.7766883006593
168;1669.5197997987357
169;1678.4452908888165
170;1688.188402386893
171;1697.4748558149195
172;1707.2179673129958
173;1716.5044207410224
174;1726.2475322390987
175;1735.1730233291796
176;1744.916134827256
177;1754.2025882552825
178;1763.945699753359
179;1773.2321531813855
180;1782.9752646794618
181;1791.9007557695427
182;1801.643867267619
183;1809.9693400780268
184;1819.7124515761031
185;1828.9989050041297
186;1838.742016502206
187;1847.667507592287
188;1857.4106190903633
189;1866.6970725183899
190;1876.4401840164662
191;1885.7266374444928
192;1895.4697489425691
193;1904.39524003265
194;1914.1383515307264
195;1923.424804958753
196;1933.1679164568293
197;1942.4543698848559
198;1952.1974813829322
199;1961.122972473013
200;1970.8660839710894
201;1979.1915567814972
202;1988.9346682795735
203;1998.2211217076
204;2007.9642332056765
205;2016.8897242957573
206;2026.6328357938337
207;2035.9192892218603
208;2045.6624007199366
209;2054.948854147963
210;2064.6919656460395
211;2073.6174567361204
212;2083.3605682341968
213;2092.6470216622233
214;2102.3901331602997
215;2111.6765865883262
216;2121.4196980864026
217;2130.3451891764835
218;2140.08830067456
219;2149.3747541025864
220;2159.1178656006628
221;2167.4433384110707
222;2177.186449909147
223;2186.111940999228
224;2195.8550524973043
225;2203.3330584606542
226;2213.0761699587306
227;2222.362623386757
228;2232.1057348848335
229;2241.0312259749144
230;2250.7743374729907
231;2260.0607909010173
232;2269.8039023990937
233;2279.09035582712
234;2288.8334673251966
235;2297.7589584152774
236;2307.502069913354
237;2316.7885233413804
238;2326.5316348394567
239;2335.8180882674833
240;2345.5611997655596
241;2354.4866908556405
242;2364.229802353717
243;2372.555275164125
244;2382.298386662201
245;2391.5848400902278
246;2401.327951588304
247;2410.253442678385
248;2419.9965541764614
249;2429.283007604488
250;2439.0261191025643
251;2448.312572530591
252;2458.055684028667
253;2466.981175118748
254;2476.7242866168244
255;2486.010740044851
256;2495.7538515429274
257;2505.040304970954
258;2514.7834164690303
259;2523.708907559111
260;2533.4520190571875
261;2541.7774918675955
262;2551.520603365672
263;2560.8070567936984
264;2570.5501682917748
265;2579.4756593818556
266;2589.218770879932
267;2598.5052243079585
268;2608.248335806035
269;2617.5347892340615
270;2627.277900732138
271;2636.2033918222187
272;2645.946503320295
273;2655.2329567483216
274;2664.976068246398
275;2674.2625216744245
276;2684.005633172501
277;2692.9311242625818
278;2702.674235760658
279;2711.9606891886847
280;2721.703800686761
281;2730.029273497169
282;2739.7723849952454
283;2748.6978760853262
284;2758.4409875834026
285;2767.727441011429
286;2777.4705525095055
287;2786.757005937532
288;2796.5001174356084
289;2805.4256085256893
290;2815.1687200237657
291;2824.4551734517922
292;2834.1982849498686
293;2843.484738377895
294;2853.2278498759715
295;2862.1533409660524
296;2871.8964524641287
297;2881.1829058921553
298;2890.9260173902317
299;2900.212470818258
300;2909.9555823163346
301;2918.8810734064155
302;2928.624184904492
303;2936.9496577149
304;2946.692769212976
305;2955.9792226410027
306;2965.722334139079
307;2974.64782522916
308;2984.3909367272363
309;2993.677390155263
310;3003.420501653339
311;3012.706955081366
312;3022.450066579442
313;3031.375557669523
314;3041.1186691675994
315;3050.405122595626
316;3060.1482340937023
317;3069.434687521729
318;3079.177799019805
319;3088.103290109886
320;3097.8464016079624
321;3106.1718744183704
322;3115.9149859164468
323;3125.2014393444733
324;3134.9445508425497
325;3143.8700419326306
326;3153.613153430707
327;3162.8996068587335
328;3172.64271835681
329;3181.9291717848364
330;3191.6722832829128
331;3200.5977743729936
332;3210.34088587107
