Iterations;Gain_cumule
1;87.48552339590907
2;89.29340928222707
3;104.68785413718523
4;111.08380092992158
5;132.25534088395966
6;145.74260450739587
7;146.71045383255307
8;157.57272016355222
9;176.22184452865636
10;189.47139875796228
11;203.13771465419921
12;204.78860890384493
13;212.38035638870093
14;205.44211681627192
15;226.37588443560793
16;227.96567294808682
17;232.31345979004234
18;244.43543777112427
19;243.65973269595395
20;243.8901235640267
21;243.04501009410697
22;244.4883701049491
23;247.08617635883448
24;266.6154812582695
25;275.3091490355166
26;280.7969911581152
27;293.55748416043446
28;307.0931020930888
29;322.60454763100836
30;342.75277883806547
31;352.4368364605543
32;357.96256293426853
33;378.9154800897501
34;399.92466716320155
35;411.4739808595594
36;423.21651601434104
37;423.9027113461449
38;420.25532232187606
39;449.5156868837769
40;454.0504303945871
41;468.62121145414375
42;467.19980941334654
43;462.9027546545329
44;472.87275561442544
45;472.1742518959631
46;481.6883174082399
47;504.2702528788848
48;505.85603916084574
49;509.6668983520734
50;517.84163203717
51;530.5352768467802
52;536.0245248668987
53;561.6408826187627
54;575.296170967335
55;573.1871027368362
56;585.4762061324617
57;594.9978500681481
58;601.2891282153983
59;607.8748201881571
60;621.2448609217932
61;636.3131585770714
62;643.1442689840802
63;638.3326979380228
64;649.238994939527
65;660.4935332117761
66;661.2552032301188
67;668.8476600846662
68;685.4699503265606
69;688.6339940861982
70;686.03953203676
71;691.579567135381
72;691.6941476073665
73;697.4989984700973
74;701.333524802816
75;714.4613123925878
76;728.5177735309285
77;744.8372772435521
78;760.078137330196
79;758.0433624677955
80;765.823844892441
81;784.8297008823133
82;787.3348441031105
83;785.5508867567379
84;789.4865928131849
85;797.0051062870403
86;803.7557438235526
87;810.2996093486585
88;819.3602105307759
89;830.1575142266029
90;833.6595728496184
91;849.3063737801048
92;845.6050419938391
93;853.97180399384
94;861.8349414013129
95;871.3546572858571
96;880.5845514358895
97;889.1448551717268
98;898.0947209926882
99;908.9095345713059
100;917.0815026935047
101;924.8646139974921
102;936.384809766001
103;942.085416583641
104;947.9193973394904
105;956.4344179696283
106;965.8855028411497
107;974.4241714925586
108;983.6240820117604
109;991.9829428947796
110;1001.6027468549089
111;1011.2689653125096
112;1021.4732358599539
113;1027.7508991373227
114;1035.2194246049908
115;1044.515796148676
116;1052.9874545207028
117;1063.0644702206348
118;1072.0761921550056
119;1081.3296394148103
120;1088.780607967138
121;1096.4130223533105
122;1104.833384622866
123;1116.40284407313
124;1126.4506293070258
125;1135.333898058767
126;1144.3217664520505
127;1153.9067568452574
128;1163.2099170141305
129;1170.7482645971124
130;1177.0035097365267
131;1185.3938564330645
132;1194.2225121218862
133;1203.5278560835657
134;1213.4483341338175
135;1224.1662329109115
136;1232.2747093424719
137;1240.6108977571496
138;1248.1965802383086
139;1258.3070743567846
140;1266.5401493415789
141;1274.1252305691878
142;1284.5148891949425
143;1294.2174769657256
144;1303.0869529681452
145;1310.636327242703
146;1321.4808722044236
147;1329.682211242709
148;1339.8698268970297
149;1348.6188121528673
150;1360.8462273726868
151;1369.2823895838128
152;1376.5621954926683
153;1386.204829482466
154;1388.6380810390274
155;1398.3793275285161
156;1409.8952303215078
157;1417.4941605150184
158;1421.0924217885583
159;1431.5237340001459
160;1437.7073596900975
161;1446.8377929539522
162;1447.1162474114378
163;1455.798927221868
164;1474.2336808618354
165;1482.8676162630034
166;1497.6059883574192
167;1506.9193065185596
168;1516.7063571149026
169;1523.9904762537665
170;1512.6613301099942
171;1521.3141741269972
172;1535.0215003189483
173;1546.183056542508
174;1567.2895398234793
175;1576.6628268846134
176;1579.9145546440773
177;1591.0834575781805
178;1595.5628695426003
179;1605.0112916341493
180;1605.2442634880003
181;1614.51582443816
182;1618.9159402636672
183;1629.4805722030978
184;1639.7929297501967
185;1648.6284266941145
186;1658.880573531076
187;1669.4757638274873
188;1678.3923886134853
189;1688.3426814754982
190;1698.7527584076295
191;1707.3994010228773
192;1715.717862812656
193;1725.5296334784082
194;1735.7149666675139
195;1744.9200547109335
196;1755.0907594308082
197;1763.1079257164947
198;1771.0309552442038
199;1779.5741249882853
200;1788.6023194551399
201;1794.6227901118991
202;1802.596775060736
203;1811.690458633539
204;1821.719236009522
205;1832.1172513275403
206;1838.8149630258204
207;1847.5532216543977
208;1856.9828771617551
209;1864.8654321828794
210;1872.8859577191088
211;1879.0166702441632
212;1888.6678150631567
213;1900.1671544457186
214;1909.0960568454846
215;1909.2484423210228
216;1916.5784340122616
217;1922.938241351768
218;1932.9955829361877
219;1938.9049653866737
220;1947.636457450544
221;1958.874637975054
222;1969.0393164613229
223;1970.466392107045
224;1979.8635923561314
225;1982.96237031818
226;1991.998185525685
227;1995.6873313068916
228;2006.1728372319837
229;2009.3908171537632
230;2020.427252343481
231;2034.397079821655
232;2043.061707893076
233;2051.6718296173935
234;2061.147723031864
235;2072.6564963293067
236;2080.801521749894
237;2103.2526073181953
238;2113.4952783073013
239;2119.6174753111377
240;2129.453392249514
241;2133.3704277060483
242;2143.865010243634
243;2162.3590070720415
244;2171.4564697803316
245;2184.541330134954
246;2191.0904938682957
247;2194.321491053958
248;2204.8707797964885
249;2217.875885756935
250;2224.9745494280573
251;2231.716125484962
252;2242.2501751265954
253;2254.7994624356506
254;2262.9483190774026
255;2261.855254386013
256;2269.929324519668
257;2285.1633569357564
258;2293.9314702129673
259;2299.6137631247507
260;2307.6103807476848
261;2316.636588679495
262;2323.2183107519213
263;2312.713735904978
264;2322.667570925537
265;2331.6309132849005
266;2340.2752866078167
267;2345.951439604696
268;2356.934685159601
269;2363.9719032075964
270;2372.083639496
271;2384.75014372204
272;2394.2379726518093
273;2404.0768625885353
274;2413.084606448124
275;2424.380775198146
276;2435.1157239977606
277;2450.4652925186183
278;2460.194843272965
279;2460.7969122167433
280;2471.041229738426
281;2485.4173341323954
282;2491.99064592589
283;2497.699341259613
284;2508.2633078776616
285;2516.47856923981
286;2524.42530207767
287;2535.1916973712077
288;2544.185209798944
289;2541.273652618596
290;2550.0027193235787
291;2550.737733801404
292;2559.232247580956
293;2566.5320805442643
294;2575.785877724711
295;2579.062065026961
296;2585.898831538873
297;2604.548181811646
298;2614.6945077905775
299;2634.00452581246
300;2642.3387684796735
301;2656.177472897069
302;2663.147307169605
303;2668.1575954438226
304;2677.707003294844
305;2686.0015817876797
306;2692.5683263011174
307;2700.7942758738027
308;2709.824721846732
309;2719.510316626327
310;2726.654338518053
311;2741.325074252474
312;2749.4057787807064
313;2765.3479245468366
314;2773.622566994739
315;2778.8661160144
316;2784.6940710007298
317;2786.6484665630355
318;2796.2162128226046
319;2815.2504377355986
320;2824.588573018116
321;2836.82341636274
322;2846.4608866996596
323;2850.7347572681874
324;2859.5001284138198
325;2866.6955305982474
326;2874.905637902058
327;2883.1936147631345
328;2891.614836013667
329;2895.175948583264
330;2902.5391499965963
331;2926.1358478854163
332;2935.497875740551
